Iteration,Parameter 1 (ss),Parameter 2 (ha),Parameter 3 (pa),Output Parameter (d),Output hit probability
1,98.00000000,-1.00000000,44.00000000,7.31860020,0.00000000
2,98.04898738,-0.50000000,44.47500000,4.62978032,0.00000000
3,98.10636940,-0.22500000,44.71250000,2.69922335,0.00000000
13,98.44180039,-0.00642090,44.98931885,2.34945798,0.19100000
5,98.17843620,-0.09375000,44.91562500,2.14382412,0.01400000
11,98.37211282,-0.02568359,45.00727539,2.13994996,0.16500000
14,98.48862035,-0.00321045,44.96965942,2.03416092,0.19200000
18,98.60731620,-0.03145065,45.01685371,2.00702190,0.30400000
30,98.91650318,-0.00325475,44.98959152,1.95768428,0.42900000
6,98.21891688,-0.07187500,44.98281250,1.94189144,0.05700000
9,98.30631362,-0.05273438,45.02910156,1.85118233,0.11500000
16,98.54379844,-0.02580261,45.01741486,1.82999626,0.27100000
21,98.70285901,-0.01643133,45.02085671,1.80073844,0.30000000
19,98.64719573,-0.01572533,45.03342686,1.79134254,0.31100000
4,98.14469707,-0.13750000,44.88125000,1.77634235,0.00000000
50,99.24720834,0.00646109,45.01170143,1.74099457,0.58600000
26,98.80025825,-0.00207598,45.03346427,1.59327439,0.35900000
49,99.21752894,-0.03707781,44.97340286,1.59323831,0.55300000
59,99.31352477,0.00167278,44.98576504,1.58498006,0.63500000
29,98.88612314,-0.00650950,45.02918303,1.57008789,0.41800000
70,99.46760860,-0.00383219,45.02218543,1.48820049,0.72200000
27,98.83151672,0.02396201,45.01673214,1.47805773,0.38300000
35,99.01662385,-0.03291421,44.98248723,1.47463370,0.49100000
55,99.28694146,-0.02323559,45.02224067,1.47351042,0.62500000
10,98.34322171,-0.05136719,45.01455078,1.46901302,0.13700000
42,99.10596909,-0.04596027,44.99556631,1.41715655,0.51600000
17,98.58016159,-0.01290131,45.03370743,1.38066810,0.26900000
12,98.41444901,-0.01284180,44.97863770,1.37323543,0.18900000
8,98.27963335,-0.05546875,45.00820313,1.35056056,0.08600000
28,98.86091540,0.03698101,45.00836607,1.34946361,0.40100000
69,99.44232906,-0.00766438,44.99437086,1.29478605,0.68800000
62,99.37740735,-0.03104090,45.02947063,1.24634184,0.64700000
32,98.96427818,-0.01331369,44.95989788,1.22000528,0.43000000
140,99.83915164,-0.00963408,45.02938445,1.20918248,0.89000000
63,99.40095723,-0.04052045,44.98973532,1.19747992,0.68100000
75,99.54560247,-0.04699476,44.98975579,1.18948779,0.73300000
46,99.17028825,0.00337748,45.03722289,1.18402147,0.59000000
25,98.77694318,-0.00415196,45.01692854,1.17760593,0.35000000
95,99.70362092,-0.02671785,45.04114574,1.17709339,0.82600000
73,99.50715179,-0.03797902,45.00902318,1.16899119,0.70900000
396,100.09412251,-0.02584767,44.97904342,1.16852599,0.90700000
324,99.89082189,-0.01617017,44.95969256,1.15809456,0.91200000
77,99.56838374,0.02575131,45.00993895,1.15261499,0.73900000
45,99.14762342,0.00675497,45.02444579,1.14092169,0.59000000
7,98.25710654,-0.06093750,45.01640625,1.13064713,0.09100000
37,99.05065060,0.02927145,45.00812181,1.12695961,0.48400000
132,99.84560628,-0.01632497,45.02241901,1.11933219,0.90700000
466,100.04483579,-0.03758095,44.97947359,1.11604773,0.93200000
67,99.41817879,0.01934247,45.02748346,1.11517165,0.67800000
85,99.62631790,-0.00907910,44.98324195,1.09337672,0.77600000
253,99.88502695,0.01692303,44.98011515,1.09278839,0.91800000
305,99.92515441,0.02483748,45.04091898,1.07911105,0.89300000
150,99.90194299,0.01361364,44.97253846,1.07421299,0.92700000
273,99.91473839,-0.03880823,45.02573646,1.07302906,0.92200000
264,99.88333166,-0.01981596,44.97706549,1.07221724,0.91000000
142,99.87497374,0.03509148,45.01984611,1.07099375,0.89100000
